id	article	journal	year
2852	Global Optimization Using Space Filling.		2009
2853	Nondifferentiable Optimization: Newton Method.		2009
2854	Generalized Geometric Programming: Mixed Continuous and Discrete Free Variables.		2009
2855	Multiparametric Mixed Integer Linear Programming.		2009
2856	Global Optimization: p-alphaBB Approach.		2009
2857	Best Approximation in Ordered Normed Linear Spaces.		2009
2858	Survivable Networks.		2009
2859	Hyperplane Arrangements in Optimization.		2009
2860	Short-Term Scheduling, Resource Constrained: Unified Modeling Frameworks.		2009
2861	Algorithmic Improvements Using a Heuristic Parameter, Reject Index for Interval Optimization.		2009
2862	Bounding Derivative Ranges.		2009
2863	L-shaped Method for Two-stage Stochastic Programs with Recourse.		2009
2864	Minimum Cost Flow Problem.		2009
2865	Oligopolistic Market Equilibrium.		2009
2866	Extremum Problems with Probability Functions: Kernel Type Solution Methods.		2009
2867	Criss-Cross Pivoting Rules.		2009
2868	Semidefinite Programming and Structural Optimization.		2009
2869	Capacitated Minimum Spanning Trees.		2009
2870	Operations Research.		2009
2871	Interval Fixed Point Theory.		2009
2872	Network Design Problems.		2009
2873	Large Scale Trust Region Problems.		2009
2874	Multicriteria Methods for Mergers and Acquisitions.		2009
2875	Adaptive Simulated Annealing and its Application to Protein Folding.		2009
2876	Multiplicative Programming.		2009
2877	Continuous Review Inventory Models: (Q, R) Policy.		2009
2878	Optimal Solvent Design Approaches.		2009
2879	Global Optimization in Batch Design Under Uncertainty.		2009
2880	Broadcast Scheduling Problem.		2009
2881	Vehicle Routing.		2009
2882	Interval Newton Methods.		2009
2883	Linear Space.		2009
2884	Piecewise Linear Network Flow Problems.		2009
2885	Duality Gaps in Nonconvex Optimization.		2009
2886	Bayesian Global Optimization.		2009
2887	MINLP: Branch and Bound Global Optimization Algorithm.		2009
2888	Successive Quadratic Programming: Applications in the Process Industry.		2009
2889	Regression by Special Functions: Algorithms and Complexity.		2009
2890	Identification Methods for Reaction Kinetics and Transport.		2009
2891	Volume Computation for Polytopes: Strategies and Performances.		2009
2892	Broyden Family of Methods and the BFGS Update.		2009
2893	Linear Optimization: Theorems of the Alternative.		2009
2894	General Moment Optimization Problems.		2009
2895	Distance Dependent Protein Force Field via Linear Optimization.		2009
2896	Portfolio Selection: Markowitz Mean-variance Model.		2009
2897	Heuristic Search.		2009
2898	Quasidifferentiable Optimization: Dini Derivatives, Clarke Derivatives.		2009
2899	Maximum Likelihood Detection via Semidefinite Programming.		2009
2900	Interval Analysis: Differential Equations.		2009
2901	Stochastic Quasigradient Methods in Minimax Problems.		2009
2902	Smoothing Methods for Semi-Infinite Optimization.		2009
2903	Mixed-Integer Nonlinear Optimization: A Disjunctive Cutting Plane Approach.		2009
2904	Hamilton-Jacobi-Bellman Equation.		2009
2905	Global Optimization of Planar Multilayered Dielectric Structures.		2009
2906	Multifacility and Restricted Location Problems.		2009
2907	Generalized Assignment Problem.		2009
2908	Probabilistic Analysis of Simplex Algorithms.		2009
2909	Lemke Method.		2009
2910	Lagrangian Duality: BASICS.		2009
2911	Graph Coloring.		2009
2912	Infinite Horizon Control and Dynamic Games.		2009
2913	Bilevel Programming: Introduction, History and Overview.		2009
2914	Multi-index Transportation Problems.		2009
2915	Von Neumann, John.		2009
2916	Quasidifferentiable Optimization.		2009
2917	Stochastic Global Optimization: Two-Phase Methods.		2009
2918	Variational Inequalities: Projected Dynamical System.		2009
2919	Parametric Optimization: Embeddings, Path Following and Singularities.		2009
2920	Homogeneous Selfdual Methods for Linear Programming.		2009
2921	Stochastic Optimal Stopping: Problem Formulations.		2009
2922	Discretely Distributed Stochastic Programs: Descent Directions and Efficient Points.		2009
2923	Parallel Computing: Models.		2009
2924	ABS Algorithms for Optimization.		2009
2925	Quasidifferentiable Optimization: Calculus of Quasidifferentials.		2009
2926	Generalized Monotonicity: Applications to Variational Inequalities and Equilibrium Problems.		2009
2927	Variational Inequalities: Geometric Interpretation, Existence and Uniqueness.		2009
2928	Multi-objective Optimization: Interactive Methods for Preference Value Functions.		2009
2929	Set Covering, Packing and Partitioning Problems.		2009
2930	Single Facility Location: Multi-objective Euclidean Distance Location.		2009
2931	Asset Liability Management Decision Support System.		2009
2932	Maximum Cut Problem, MAX-CUT.		2009
2933	Combinatorial Matrix Analysis.		2009
2934	Neuro-Dynamic Programming.		2009
2935	Topological Derivative in Shape Optimization.		2009
2936	Sequential Cutting Plane Algorithm.		2009
2937	SSC Minimization Algorithms for Nonsmooth and Stochastic Optimization.		2009
2938	Convexifiable Functions, Characterization of.		2009
2939	Gasoline Blending and Distribution Scheduling: An MILP Model.		2009
2940	Young Programming.		2009
2941	Automatic Differentiation: Calculation of Newton Steps.		2009
2942	Heuristic and Metaheuristic Algorithms for the Traveling Salesman Problem.		2009
2943	Hilbert's Thirteenth Problem.		2009
2944	Quasidifferentiable Optimization: Exact Penalty Methods.		2009
2945	Semi-infinite Programming and Applications in Finance.		2009
2946	Maximum Flow Problem.		2009
2947	Practical Augmented Lagrangian Methods.		2009
2948	Monotonic Optimization.		2009
2949	Single Facility Location: Circle Covering Problem.		2009
2950	Overdetermined Systems of Linear Equations.		2009
2951	Bilevel Programming: Implicit Function Approach.		2009
2952	Interior Point Methods for Semidefinite Programming.		2009
2953	Second Order Optimality Conditions for Nonlinear Optimization.		2009
2954	Integer Programming: Cutting Plane Algorithms.		2009
2955	Multicriteria Sorting Methods.		2009
2956	Integer Programming: Branch and Bound Methods.		2009
2957	Linear Programming: Karmarkar Projective Algorithm.		2009
2958	Marcos Raydan: Spectral Projected Gradient Methods.		2009
2959	Price of Robustness for Linear Optimization Problems.		2009
2960	Duality Theory: Triduality in Global Optimization.		2009
2961	Minimax: Directional Differentiability.		2009
2962	Nondifferentiable Optimization: Relaxation Methods.		2009
2963	Model Based Control for Drug Delivery Systems.		2009
2964	Frank-Wolfe Algorithm.		2009
2965	Pontryagin Maximum Principle.		2009
2966	Chemical Process Planning.		2009
2967	Optimization in Boolean Classification Problems.		2009
2968	Optimal Sensor Scheduling.		2009
2969	Global Optimization Based on Statistical Models.		2009
2970	Second Order Constraint Qualifications.		2009
2971	Structural Optimization: History.		2009
2972	Nonconvex Energy Functions: Hemivariational Inequalities.		2009
2973	Multistage Stochastic Programming: Barycentric Approximation.		2009
2974	Parametric Linear Programming: Cost Simplex Algorithm.		2009
2975	Competitive Ratio for Portfolio Management.		2009
2976	Interval Analysis: Systems of Nonlinear Equations.		2009
2977	Maximum Entropy Principle: Image Reconstruction.		2009
2978	Stochastic Programming Models: Random Objective.		2009
2979	Cutting Plane Methods for Global Optimization.		2009
2980	Solving Large Scale and Sparse Semidefinite Programs.		2009
2981	Continuous Global Optimization: Models, Algorithms and Software.		2009
2982	Short-Term Scheduling Under Uncertainty: Sensitivity Analysis.		2009
2983	Metaheuristic Algorithms for the Vehicle Routing Problem.		2009
2984	Greedy Randomized Adaptive Search Procedures.		2009
2985	Potential Reduction Methods for Linear Programming.		2009
2986	Genetic Algorithms.		2009
2987	Solving Hemivariational Inequalities by Nonsmooth Optimization Methods.		2009
2988	Integer Linear Complementary Problem.		2009
2989	Nonsmooth and Smoothing Methods for Nonlinear Complementarity Problems and Variational Inequalities.		2009
2990	Image Space Approach to Optimization.		2009
2991	Maximum Satisfiability Problem.		2009
2992	Data Mining.		2009
2993	Interval Analysis: Application to Chemical Engineering Design Problems.		2009
2994	Probabilistic Constrained Problems: Convexity Theory.		2009
2995	Global Optimization: Filled Function Methods.		2009
2996	Convex Max-Functions.		2009
2997	High-order Necessary Conditions for Optimality for Abnormal Points.		2009
2998	Global Optimization in the Analysis and Management of Environmental Systems.		2009
2999	Pseudomonotone Maps: Properties and Applications.		2009
3000	Contraction-Mapping.		2009
3001	Credit Rating and Optimization Methods.		2009
3002	Integer Programming: Branch and Cut Algorithms.		2009
3003	Ellipsoid Method.		2009
3004	Simple Recourse Problem.		2009
3005	Semi-infinite Programming: Discretization Methods.		2009
3006	Parallel Heuristic Search.		2009
3007	Combinatorial Test Problems and Problem Generators.		2009
3008	Molecular Structure Determination: Convex Global Underestimation.		2009
3009	Lagrange, Joseph-Louis.		2009
3010	Simplicial Pivoting Algorithms for Integer Programming.		2009
3011	Multiple Minima Problem in Protein Folding: aplhaBB Global Optimization Approach.		2009
3012	Branchwidth and Branch Decompositions.		2009
3013	Deterministic and Probabilistic Optimization Models for Data Classification.		2009
3014	Optimal Design in Nonlinear Optics.		2009
3015	Convex Discrete Optimization.		2009
3016	Topological Methods in Complementarity Theory.		2009
3017	Globally Convergent Homotopy Methods.		2009
3018	Global Equilibrium Search.		2009
3019	Feasible Sequential Quadratic Programming.		2009
3020	Bilevel Programming: Global Optimization.		2009
3021	Estimating Data for Multicriteria Decision Making Problems: Optimization Techniques.		2009
3022	Dynamic Programming: Average Cost Per Stage Problems.		2009
3023	Saddle Point Theory and Optimality Conditions.		2009
3024	First Order Constraint Qualifications.		2009
3025	Preference Disaggregation Approach: Basic Features, Examples from Financial Decision Making.		2009
3026	Stochastic Bilevel Programs.		2009
3027	Generalized Monotone Single Valued Maps.		2009
3028	Minimax Game Tree Searching.		2009
3029	Quadratic Programming over an Ellipsoid.		2009
3030	Optimization Software.		2009
3031	Resource Allocation for Epidemic Control.		2009
3032	Multi-Class Data Classification via Mixed-Integer Optimization.		2009
3033	Redundancy in Nonlinear Programs.		2009
3034	Krein-Milman Theorem.		2009
3035	Global Optimization: Interval Analysis and Balanced Interval Arithmetic.		2009
3036	Global Optimization in Weber's Problem with Attraction and Repulsion.		2009
3037	Generalized Variational Inequalities: A Brief Review.		2009
3038	Generalized Total Least Squares.		2009
3039	Multi-objective Fractional Programming Problems.		2009
3040	Inference of Monotone Boolean Functions.		2009
3041	Bilevel Linear Programming.		2009
3042	Optimization in Leveled Graphs.		2009
3043	Optimization in Water Resources.		2009
3044	Ill-posed Variational Problems.		2009
3045	Dynamic Programming: Continuous-time Optimal Control.		2009
3046	Disease Diagnosis: Optimization-Based Methods.		2009
3047	Composite Nonsmooth Optimization.		2009
3048	Traveling Salesman Problem.		2009
3049	Global Pairwise Protein Sequence Alignment via Mixed-Integer Linear Optimization.		2009
3050	Direct Search Luus-Jaakola Optimization Procedure.		2009
3051	Equivalence Between Nonlinear Complementarity Problem and Fixed Point Problem.		2009
3052	Nondifferentiable Optimization.		2009
3053	Sensitivity Analysis of Variational Inequality Problems.		2009
3054	Quasidifferentiable Optimization: Codifferentiable Functions.		2009
3055	Generalizations of Interior Point Methods for the Linear Complementarity Problem.		2009
3056	Least-index Anticycling Rules.		2009
3057	Direct Global Optimization Algorithm.		2009
3058	Nonlocal Sensitivity Analysis with Automatic Differentiation.		2009
3059	Unconstrained Optimization in Neural Network Training.		2009
3060	Optimization in Operation of Electric and Energy Power Systems.		2009
3061	Invexity and its Applications.		2009
3062	Stochastic Linear Programs with Recourse and Arbitrary Multivariate Distributions.		2009
3063	Dynamic Programming: Infinite Horizon Problems, Overview.		2009
3064	Metaheuristics.		2009
3065	Gauss, Carl Friedrich.		2009
3066	Complexity and Large-Scale Least Squares Problems.		2009
3067	Vehicle Routing Problem with Simultaneous Pickups and Deliveries.		2009
3068	Short-Term Scheduling of Batch Processes with Resources.		2009
3069	Increasing and Convex-Along-Rays Functions on Topological Vector Spaces.		2009
3070	Logconcave Measures, Logconvexity.		2009
3071	LCP: Pardalos-Rosen Mixed Integer Formulation.		2009
3072	Archimedes and the Foundations of Industrial Engineering.		2009
3073	Multidisciplinary Design Optimization.		2009
3074	MINLP: Logic-based Methods.		2009
3075	Pivoting Algorithms for Linear Programming Generating Two Paths.		2009
3076	Automatic Differentiation: Parallel Computation.		2009
3077	Vehicle Scheduling.		2009
3078	Determining the Optimal Number of Clusters.		2009
3079	Global Optimization: Application to Phase Equilibrium Problems.		2009
3080	Global Optimization in Generalized Geometric Programming.		2009
3081	Structural Optimization.		2009
3082	Emergency Evacuation, Optimization Modeling.		2009
3083	Linear Programming Models for Classification.		2009
3084	MINLP: Global Optimization with alphaBB.		2009
3085	Economic Lot-Sizing Problem.		2009
3086	Simplicial Decomposition.		2009
3087	Bounds and Solution Vector Estimates for Parametric NLPS.		2009
3088	Bilinear Programming.		2009
3089	Stochastic Programs with Recourse: Upper Bounds.		2009
3090	Metropolis, Nicholas Constantine.		2009
3091	Differential Equations and Global Optimization.		2009
3092	Maximum Constraint Satisfaction: Relaxations and Upper Bounds.		2009
3093	Static Stochastic Programming Models.		2009
3094	Automatic Differentiation: Introduction, History and Rounding Error Estimation.		2009
3095	Optimization and Decision Support Systems.		2009
3096	Simultaneous Estimation and Optimization of Nonlinear Problems.		2009
3097	Global Optimization: g-alphaBB Approach.		2009
3098	Gene Clustering: A Novel Decomposition-Based Clustering Approach: Global Optimum Search with Enhanced Positioning.		2009
3099	Principal Pivoting Methods for Linear Complementarity Problems.		2009
3100	Performance Profiles of Conjugate-Gradient Algorithms for Unconstrained Optimization.		2009
3101	Quadratic Knapsack.		2009
3102	Nondifferentiable Optimization: Parametric Programming.		2009
3103	Bilevel Programming: Applications.		2009
3104	Supply Chain Performance Measurement.		2009
3105	Complexity Theory.		2009
3106	Tucker Homogeneous Systems of Linear Relations.		2009
3107	Isotonic Regression Problems.		2009
3108	Implicit Lagrangian.		2009
3109	Bilevel Programming in Management.		2009
3110	Vector Optimization.		2009
3111	Integer Programming.		2009
3112	MINLP: Applications in the Interaction of Design and Control.		2009
3113	Preference Modeling.		2009
3114	Simple Recourse Problem: Primal Method.		2009
3115	Dini and Hadamard Derivatives in Optimization.		2009
3116	LP Strategy for Interval-Newton Method in Deterministic Global Optimization.		2009
3117	Least Squares Problems.		2009
3118	Mixed Integer Nonlinear Bilevel Programming: Deterministic Global Optimization.		2009
3119	Preprocessing in Stochastic Programming.		2009
3120	Generalized Eigenvalue Proximal Support Vector Machine Problem.		2009
3121	Global Optimization in Protein Folding.		2009
3122	Vector Variational Inequalities.		2009
3123	sz Number.		2009
3124	Laplace Method and Applications to Optimization Problems.		2009
3125	Control Vector Iteration CVI.		2009
3126	Smooth Nonlinear Nonconvex Optimization.		2009
3127	Monte-Carlo Simulated Annealing in Protein Folding.		2009
3128	Probabilistic Constrained Linear Programming: Duality Theory.		2009
3129	Bilinear Programming: Applications in the Supply Chain Management.		2009
3130	bner Bases for Polynomial Equations.		2009
3131	Biquadratic Assignment Problem.		2009
3132	Bilevel Programming.		2009
3133	Entropy Optimization: Parameter Estimation.		2009
3134	Financial Applications of Multicriteria Analysis.		2009
3135	Auction Algorithms.		2009
3136	Global Optimization Algorithms for Financial Planning Problems.		2009
3137	Standard Quadratic Optimization Problems: Applications.		2009
3138	Bilevel Programming Framework for Enterprise-Wide Process Networks Under Uncertainty.		2009
3139	Stochastic Programming: Minimax Approach.		2009
3140	Topology Optimization.		2009
3141	Bayesian Networks.		2009
3142	Cyclic Coordinate Method.		2009
3143	Turnpike Theory: Stability of Optimal Trajectories.		2009
3144	Duality Theory: Biduality in Nonconvex Optimization.		2009
3145	Large Scale Unconstrained Optimization.		2009
3146	Quadratic Semi-assignment Problem.		2009
3147	Quadratic Fractional Programming: Dinkelbach Method.		2009
3148	Multi-objective Optimization: Pareto Optimal Solutions, Properties.		2009
3149	Bilevel Programming: Applications in Engineering.		2009
3150	Bilevel Optimization: Feasibility Test and Flexibility Index.		2009
3151	Optimization Techniques for Phase Retrieval Based on Single-Crystal X-Ray Diffraction Data.		2009
3152	Parallel Computing: Complexity Classes.		2009
3153	Spatial Price Equilibrium.		2009
3154	Semidefinite Programming and Determinant Maximization.		2009
3155	Quasidifferentiable Optimization: Variational Formulations.		2009
3156	Global Optimization: Tight Convex Underestimators.		2009
3157	General Routing Problem.		2009
3158	Integer Linear Programs for Routing and Protection Problems in Optical Networks.		2009
3159	MINLP: Reactive Distillation Column Synthesis.		2009
3160	Simulated Annealing Methods in Protein Folding.		2009
3161	Global Optimization in Location Problems.		2009
3162	Relaxation in Projection Methods.		2009
3163	Mixed Integer Programming/Constraint Programming Hybrid Methods.		2009
3164	Global Optimization Methods for Harmonic Retrieval.		2009
3165	Concave Programming.		2009
3166	Matrix Completion Problems.		2009
3167	Sensitivity Analysis of Complementarity Problems.		2009
3168	Quadratic Assignment Problem.		2009
3169	Generalized Monotone Multivalued Maps.		2009
3170	Kolmogorov Complexity.		2009
3171	Logic-Based Outer Approximation.		2009
3172	Financial Equilibrium.		2009
3173	Duality Theory: Monoduality in Convex Optimization.		2009
3174	Motzkin Transposition Theorem.		2009
3175	Robust Optimization.		2009
3176	Interval Analysis for Optimization of Dynamical Systems.		2009
3177	Optimization in Classifying Text Documents.		2009
3178	Multi-objective Combinatorial Optimization.		2009
3179	Checklist Paradigm Semantics for Fuzzy Logics.		2009
3180	Global Terrain Methods.		2009
3181	Communication Network Assignment Problem.		2009
3182	Nonsmooth Optimization Approach to Clustering.		2009
3183	Global Optimization in Multiplicative Programming.		2009
3184	Selection of Maximally Informative Genes.		2009
3185	Algorithms for Genomic Analysis.		2009
3186	Domination Analysis in Combinatorial Optimization.		2009
3187	Dynamic Programming in Clustering.		2009
3188	Suboptimal Control.		2009
3189	Approximations to Robust Conic Optimization Problems.		2009
3190	Contact Map Overlap Maximization Problem, CMO.		2009
3191	Semi-infinite Programming, Semidefinite Programming and Perfect Duality.		2009
3192	Hemivariational Inequalities: Static Problems.		2009
3193	Job-shop Scheduling Problem.		2009
3194	Inventory Management in Supply Chains.		2009
3195	Affine Sets and Functions.		2009
3196	Successive Quadratic Programming: Applications in Distillation Systems.		2009
3197	Cholesky Factorization.		2009
3198	Interval Global Optimization.		2009
3199	Multicommodity Flow Problems.		2009
3200	Multidimensional Knapsack Problems.		2009
3201	Continuous Global Optimization: Applications.		2009
3202	Multi-objective Optimization: Interaction of Design and Control.		2009
3203	Stochastic Vehicle Routing Problems.		2009
3204	Stochastic Global Optimization: Stopping Rules.		2009
3205	Semi-infinite Programming: Numerical Methods.		2009
3206	Equilibrium Networks.		2009
3207	Optimizing Facility Location with Euclidean and Rectilinear Distances.		2009
3208	Data Envelopment Analysis.		2009
3209	Boundary Condition Iteration BCI.		2009
3210	Quadratic Programming with Bound Constraints.		2009
3211	Generalized Primal-relaxed Dual Approach.		2009
3212	Continuous Approximations to Subdifferentials.		2009
3213	Derivatives of Probability Measures.		2009
3214	Set-valued Optimization.		2009
3215	State of the Art in Modeling Agricultural Systems.		2009
3216	Convex Envelopes in Optimization Problems.		2009
3217	Optimization with Equilibrium Constraints: A Piecewise SQP Approach.		2009
3218	Interval Analysis: Subdivision Directions in Interval Branch and Bound Methods.		2009
3219	Stochastic Linear Programming: Decomposition and Cutting Planes.		2009
3220	Neural Networks for Combinatorial Optimization.		2009
3221	Multi-Quadratic Integer Programming: Models and Applications.		2009
3222	Splitting Method for Linear Complementarity Problems.		2009
3223	Generalized Networks.		2009
3224	Numerical Methods for Unary Optimization.		2009
3225	Plant Layout Problems and Optimization.		2009
3226	Automatic Differentiation: Root Problem and Branch Problem.		2009
3227	Semi-infinite Programming: Methods for Linear Problems.		2009
3228	Complexity Theory: Quadratic Programming.		2009
3229	Portfolio Selection and Multicriteria Analysis.		2009
3230	Complementarity Algorithms in Pattern Recognition.		2009
3231	Network Location: Covering Problems.		2009
3232	Bilevel Programming: Optimality Conditions and Duality.		2009
3233	Conjugate-Gradient Methods.		2009
3234	Nested Partitions Optimization.		2009
3235	Fractional Zero-One Programming.		2009
3236	Lagrangian Multipliers Methods for Convex Programming.		2009
3237	Two-Stage Stochastic Programs with Recourse.		2009
3238	Robust Global Optimization.		2009
3239	Nonsmooth Analysis: Weak Stationarity.		2009
3240	Stabilization of Cutting Plane Algorithms for Stochastic Linear Programming Problems.		2009
3241	Stochastic Transportation and Location Problems.		2009
3242	Railroad Crew Scheduling.		2009
3243	Cost Approximation Algorithms.		2009
3244	Decision Support Systems with Multiple Criteria.		2009
3245	Semi-infinite Programming: Approximation Methods.		2009
3246	Directed Tree Networks.		2009
3247	Predictive Method for Interhelical Contacts in Alpha-Helical Proteins.		2009
3248	Static Resource Constrained Project Scheduling.		2009
3249	Stochastic Integer Programs.		2009
3250	Disjunctive Programming.		2009
3251	Robust Control: Schur Stability of Polytopes of Polynomials.		2009
3252	Adaptive Global Search.		2009
3253	Alignment Problem.		2009
3254	odory Theorem.		2009
3255	Optimality Criteria for Multiphase Chemical Equilibrium.		2009
3256	Automatic Differentiation: Point and Interval Taylor Operators.		2009
3257	Bisection Global Optimization Methods.		2009
3258	Dynamic Programming: Undiscounted Problems.		2009
3259	Time-Dependent Traveling Salesman Problem.		2009
3260	Oriented Matroids.		2009
3261	Operations Research Models for Supply Chain Management and Design.		2009
3262	Voronoi Diagrams in Facility Location.		2009
3263	Semi-infinite Programming: Second Order Optimality Conditions.		2009
3264	High-order Maximum Principle for Abnormal Extremals.		2009
3265	MINLP: Heat Exchanger Network Synthesis.		2009
3266	Equality-Constrained Nonlinear Programming: KKT Necessary Optimality Conditions.		2009
3267	Lagrange-Type Functions.		2009
3268	Multilevel Methods for Optimal Design.		2009
3269	Bottleneck Steiner Tree Problems.		2009
3270	chet Subdifferentials.		2009
3271	Replicator Dynamics in Combinatorial Optimization.		2009
3272	Evolutionary Algorithms in Combinatorial Optimization.		2009
3273	Short-Term Scheduling of Continuous Processes.		2009
3274	MINLP: Design and Scheduling of Batch Processes.		2009
3275	Discrete Stochastic Optimization.		2009
3276	Duality for Semidefinite Programming.		2009
3277	Stochastic Programming with Simple Integer Recourse.		2009
3278	Eigenvalue Enclosures for Ordinary Differential Equations.		2009
3279	Complexity Classes in Optimization.		2009
3280	Frequency Assignment Problem.		2009
3281	Interest Pixel Mining.		2009
3282	Supporting Imprecision in Database Systems.		2009
3283	Summarization in Pattern Mining.		2009
3284	Bitmap Join Indexes vs. Data Partitioning.		2009
3285	Association Rule Mining.		2009
3286	Humanities Data Warehousing.		2009
3287	Bridging Taxonomic Semantics to Accurate Hierarchical Classification.		2009
3288	Sampling Methods in Approximate Query Answering Systems.		2009
3289	Visualization Techniques for Confidence Based Data.		2009
3290	Semi-Structured Document Classification.		2009
3291	Biological Image Analysis via Matrix Approximation.		2009
3292	Data Mining in Protein Identification by Tandem Mass Spectrometry.		2009
3293	Homeland Security Data Mining and Link Analysis.		2009
3294	Data Reduction with Rough Sets.		2009
3295	Distributed Association Rule Mining.		2009
3296	Integration of Data Sources through Data Mining.		2009
3297	Data Mining Tool Selection.		2009
3298	Order Preserving Data Mining.		2009
3299	Action Rules Mining.		2009
3300	Enhancing Web Search through Web Structure Mining.		2009
3301	Ensemble Data Mining Methods.		2009
3302	Association Rules and Statistics.		2009
3303	Direction-Aware Proximity on Graphs.		2009
3304	Outlier Detection.		2009
3305	Subsequence Time Series Clustering.		2009
3306	Transferable Belief Model.		2009
3307	Cost-Sensitive Learning.		2009
3308	Data Mining in Genome Wide Association Studies.		2009
3309	A Bayesian Based Machine Learning Application to Task Analysis.		2009
3310	Metaheuristics in Data Mining.		2009
3311	Segmentation of Time Series Data.		2009
3312	Data Mining with Cubegrades.		2009
3313	Incremental Learning.		2009
3314	Rough Sets and Data Mining.		2009
3315	Quantization of Continuous Data for Pattern Based Rule Extraction.		2009
3316	Theory and Practice of Expectation Maximization (EM) Algorithm.		2009
3317	Classification Methods.		2009
3318	Automatic Music Timbre Indexing.		2009
3319	Data Mining and Privacy.		2009
3320	On Interacting Features in Subset Selection.		2009
3321	Robust Face Recognition for Data Mining.		2009
3322	Search Engines and their Impact on Data Warehouses.		2009
3323	Imprecise Data and the Data Mining Process.		2009
3324	Seamless Structured Knowledge Acquisition.		2009
3325	Modeling Score Distributions.		2009
3326	Control-Based Database Tuning Under Dynamic Workloads.		2009
3327	Reflecting Reporting Problems and Data Warehousing.		2009
3328	Knowledge Discovery in Databases with Diversity of Data Types.		2009
3329	Integrative Data Analysis for Biological Discovery.		2009
3330	Data Provenance.		2009
3331	A User-Aware Multi-Agent System for Team Building.		2009
3332	A Multi-Agent System for Handling Adaptive E-Services.		2009
3333	Learning Temporal Information from Text.		2009
3334	XML Warehousing and OLAP.		2009
3335	Data Mining and the Text Categorization Framework.		2009
3336	Discovering Knowledge from XML Documents.		2009
3337	Proximity-Graph-Based Tools for DNA Clustering.		2009
3338	Feature Reduction for Support Vector Machines.		2009
3339	Data Mining for Improving Manufacturing Processes.		2009
3340	Data Warehousing and Mining in Supply Chains.		2009
3341	Cluster Analysis with General Latent Class Model.		2009
3342	Guide Manifold Alignment by Relative Comparisons.		2009
3343	Intelligent Image Archival and Retrieval System.		2009
3344	Data Mining in Security Applications.		2009
3345	An Introduction to Kernel Methods.		2009
3346	Adaptive Web Presence and Evolution through Web Log Analysis.		2009
3347	Pattern Synthesis for Nonparametric Pattern Recognition.		2009
3348	Information Veins and Resampling with Rough Set Theory.		2009
3349	Tabu Search for Variable Selection in Classification.		2009
3350	Realistic Data for Testing Rule Mining Algorithms.		2009
3351	Subgraph Mining.		2009
3352	Mining Software Specifications.		2009
3353	Evolutionary Development of ANNs for Data Mining.		2009
3354	Database Queries, Data Mining, and OLAP.		2009
3355	Intelligent Query Answering.		2009
3356	Topic Maps Generation by Text Mining.		2009
3357	Symbiotic Data Miner.		2009
3358	Mining Generalized Web Data for Discovering Usage Patterns.		2009
3359	Data Warehouse Back-End Tools.		2009
3360	Learning Kernels for Semi-Supervised Clustering.		2009
3361	Data Mining for Lifetime Value Estimation.		2009
3362	Architecture for Symbolic Object Warehouse.		2009
3363	Financial Time Series Data Mining.		2009
3364	Global Induction of Decision Trees.		2009
3365	Data Transformation for Normalization.		2009
3366	Minimum Description Length Adaptive Bayesian Mining.		2009
3367	Data Driven vs. Metric Driven Data Warehouse Design.		2009
3368	The Issue of Missing Values in Data Mining.		2009
3369	Cluster Validation.		2009
3370	Temporal Extension for a Conceptual Multidimensional Model.		2009
3371	Enhancing Web Search through Query Expansion.		2009
3372	Enhancing Web Search through Query Log Mining.		2009
3373	Text Categorization.		2009
3374	Mining Email Data.		2009
3375	Genetic Programming.		2009
3376	Offline Signature Recognition.		2009
3377	Data Analysis for Oil Production Prediction.		2009
3378	Ontologies and Medical Terminologies.		2009
3379	Data Preparation for Data Mining.		2009
3380	Graph-Based Data Mining.		2009
3381	The Evolution of SDI Geospatial Data Clearinghouses.		2009
3382	Semantic Data Mining.		2009
3383	Data Cube Compression Techniques.		2009
3384	Inexact Field Learning Approach for Data Mining.		2009
3385	Hybrid Genetic Algorithms in Data Mining Applications.		2009
3386	The Application of Data-Mining to Recommender Systems.		2009
3387	Microarray Data Mining.		2009
3388	Spectral Methods for Data Clustering.		2009
3389	DFM as a Conceptual Model for Data Warehouse.		2009
3390	Visual Data Mining from Visualization to Visual Information Mining.		2009
3391	XML-Enabled Association Analysis.		2009
3392	Multi-Group Data Classification via MILP.		2009
3393	Evolutionary Data Mining for Genomics.		2009
3394	Mining 3D Shape Data for Morphometric Pattern Discovery.		2009
3395	Mining Group Differences.		2009
3396	Survival Data Mining.		2009
3397	Vertical Data Mining on Very Large Data Sets.		2009
3398	Predicting Resource Usage for Capital Efficient Marketing.		2009
3399	Pattern Discovery as Event Association.		2009
3400	Data Pattern Tutor for AprioriAll and PrefixSpan.		2009
3401	Pseudo-Independent Models and Decision Theoretic Knowledge Discovery.		2009
3402	Video Data Mining.		2009
3403	Quality of Association Rules by Chi-Squared Test.		2009
3404	Information Fusion for Scientific Literature Classification.		2009
3405	An Automatic Data Warehouse Conceptual Design Approach.		2009
3406	Leveraging Unlabeled Data for Classification.		2009
3407	A Case Study of a Data Warehouse in the Finnish Police.		2009
3408	Evaluation of Decision Rules by Qualities for Decision-Making Systems.		2009
3409	Guided Sequence Alignment.		2009
3410	Program Comprehension through Data Mining.		2009
3411	Statistical Data Editing.		2009
3412	Temporal Event Sequence Rule Mining.		2009
3413	Ensemble Learning for Regression.		2009
